loggingTime(txt),loggingSample(N),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),magnetometerTimestamp_sinceReboot(s),magnetometerX(µT),magnetometerY(µT),magnetometerZ(µT),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),IP_Timestamp_since1970(s),IP_en0(txt),IP_pdp_ip0(txt),deviceID(txt),deviceOrientationTimeStamp_since1970(s),deviceOrientation(Z),batteryTimeStamp_since1970(s),batteryState(R),batteryLevel(Z),label(N)
2025-04-20T10:22:12.791-04:00,1,1745158931.99985,40.31643103477798,-74.75844873366114,65.45305,0.02085881,0.4038933,-1,-1,3,6.452271117457066,-9999,1745158932.789306,20.09292602539062,-29.10525512695312,-36.30410766601562,199.8021087646484,211.9937591552734,11.12911510467529,112249.4599640417,0.134979248046875,-0.3006744384765625,-0.8245086669921875,112249.4349200417,-0.007675496395677328,0.3067668676376343,-0.2019301950931549,112249.4336360417,468.0559997558594,-145.9455413818359,-405.9112243652344,112249.4349200417,0.1949459536701847,0.2214777750099975,0.2796122259737705,-0.005140680819749832,0.3056232333183289,-0.2010324746370316,-0.1027111411094666,-0.02316552400588989,0.01648139953613281,XArbitraryCorrectedZVertical,0.1271901286601489,0.1223933690839671,0.1111058441510418,0.9780071806622523,0.211140051484108,-0.2759829461574554,-0.9376850724220276,19.60989379882812,-29.40507507324219,-36.113525390625,-1,2,112247.9873875,unknown,2,2025-04-20T10:22:11.301-04:00,null,0,0,0,0,0,0,0,null,112247.571488,0,0,101.6977,0,,,my_iOS_device,0,5,1745158932.768089,1,0.6,0
2025-04-20T10:22:12.801-04:00,2,1745158931.99985,40.31643103477798,-74.75844873366114,65.45305,0.02085881,0.4038933,-1,-1,3,6.452271117457066,-9999,1745158932.789306,20.09292602539062,-29.10525512695312,-36.30410766601562,199.8021087646484,211.9937591552734,11.12911510467529,112249.4900170417,0.1910552978515625,-0.2796173095703125,-0.865753173828125,112249.4649730417,-0.2593732476234436,0.09432677179574966,-0.3238007128238678,112249.4638730417,468.6772766113281,-145.8619537353516,-406.0752258300781,112249.4699810417,0.1867019214132259,0.2307904230057108,0.2724544892414272,-0.3055643439292908,0.04168055206537247,-0.3483434915542603,-0.06669913232326508,-0.03324136137962341,0.1019906401634216,XArbitraryCorrectedZVertical,0.1236823902490031,0.1261509340354884,0.1073061885935604,0.9784038124637466,0.2203093320131302,-0.2690961956977844,-0.9375771880149841,20.21011352539062,-29.30532836914062,-36.24118041992188,-1,2,112247.9873875,unknown,2,2025-04-20T10:22:11.301-04:00,null,0,0,0,0,0,0,0,null,112247.571488,0,0,101.6977,0,,,my_iOS_device,0,5,1745158932.768089,1,0.6,0
2025-04-20T10:22:12.829-04:00,3,1745158931.99985,40.31643103477798,-74.75844873366114,65.45305,0.02085881,0.4038933,-1,-1,3,6.452271117457066,-9999,1745158932.809388,20.265380859375,-28.63063049316406,-36.69955444335938,200.2289733886719,212.4206237792969,11.12906455993652,112249.5200690417,0.1815948486328125,-0.262786865234375,-1.10711669921875,112249.4950250417,-0.5056453347206116,-0.2418770790100098,-0.4208175241947174,112249.4941050417,468.6557006835938,-145.1082000732422,-406.6377563476562,112249.5050430417,0.1764786092227331,0.2284487434971511,0.2542864068217783,-0.4916580617427826,-0.2550619840621948,-0.4421144425868988,-0.01967573165893555,-0.01905971765518188,0.03241902589797974,XArbitraryCorrectedZVertical,0.1155214627058208,0.123717802214474,0.1012399415170658,0.9803566156270845,0.2191843539476395,-0.2515548169612885,-0.9426974058151245,20.39825439453125,-28.44064331054688,-36.710205078125,-1,2,112247.9873875,unknown,2,2025-04-20T10:22:11.301-04:00,null,0,0,0,0,0,0,0,null,112247.571488,0,0,101.6977,1745158932.803586,0.0.0.0,100.94.214.186,my_iOS_device,0,5,1745158932.768089,1,0.6,0
2025-04-20T10:22:12.859-04:00,4,1745158931.99985,40.31643103477798,-74.75844873366114,65.45305,0.02085881,0.4038933,-1,-1,3,6.452271117457066,-9999,1745158932.849513,20.597900390625,-27.71986389160156,-37.24539184570312,201.3209686279297,213.5126190185547,11.12895679473877,112249.5501220417,0.1365203857421875,-0.2680206298828125,-1.171737670898438,112249.5250780417,-0.1948416531085968,-0.08101149648427963,-0.5115053653717041,112249.5243380417,469.0328674316406,-144.3117523193359,-407.1795654296875,112249.5401050417,0.1608232057112518,0.2280021733863324,0.2427691951232352,0.12579146027565,-0.04091835767030716,-0.5655484795570374,-0.06554935872554779,-0.03043662011623383,-0.2469347715377808,XArbitraryCorrectedZVertical,0.1108419476208087,0.1222155976258808,0.09294601217572404,0.9819054779838551,0.2194036990404129,-0.2403915375471115,-0.945554792881012,20.597900390625,-27.71986389160156,-37.24539184570312,-1,2,112247.9873875,unknown,2,2025-04-20T10:22:11.301-04:00,null,0,0,0,0,0,0,0,null,112247.571488,0,0,101.6977,1745158932.803586,0.0.0.0,100.94.214.186,my_iOS_device,0,5,1745158932.768089,1,0.6,0
2025-04-20T10:22:12.889-04:00,5,1745158931.99985,40.31643103477798,-74.75844873366114,65.45305,0.02085881,0.4038933,-1,-1,3,6.452271117457066,-9999,1745158932.869674,20.83248901367188,-27.41622924804688,-36.842529296875,202.0797119140625,214.2713623046875,11.1288948059082,112249.5801750417,0.154937744140625,-0.24127197265625,-1.190093994140625,112249.5551310417,0.4555198550224304,-0.2067915201187134,-0.6289776563644409,112249.5545770417,469.3056640625,-143.9903564453125,-406.606689453125,112249.5751660417,0.1343396737238252,0.2273222985399982,0.2561585059420704,0.990154504776001,-0.2761927545070648,-0.6846367120742798,-0.08335703611373901,-2.110004425048828e-05,-0.2524325847625732,XArbitraryCorrectedZVertical,0.1190689266564401,0.1207517209715124,0.08059399151101442,0.982214936365591,0.2180158048868179,-0.2533662915229797,-0.9424832463264465,21.01406860351562,-27.79351806640625,-36.6282958984375,-1,2,112247.9873875,unknown,2,2025-04-20T10:22:11.301-04:00,null,0,0,0,0,0,0,0,null,112247.571488,0,0,101.6977,1745158932.803586,0.0.0.0,100.94.214.186,my_iOS_device,0,5,1745158932.768089,1,0.6,0
2025-04-20T10:22:12.923-04:00,6,1745158931.99985,40.31643103477798,-74.75844873366114,65.45305,0.02085881,0.4038933,-1,-1,3,6.452271117457066,-9999,1745158932.909575,21.2821044921875,-28.18195343017578,-36.24777221679688,203.9597625732422,216.1514129638672,11.12876415252686,112249.6102280417,0.2942962646484375,-0.202362060546875,-1.000732421875,112249.5851840417,1.177684664726257,-0.1658422350883484,-0.7018049955368042,112249.5848150417,469.5362854003906,-144.7342376708984,-406.1726684570312,112249.5751660417,0.1343396737238252,0.2273222985399982,0.2561585059420704,0.990154504776001,-0.2761927545070648,-0.6846367120742798,-0.08335703611373901,-2.110004425048828e-05,-0.2524325847625732,XArbitraryCorrectedZVertical,0.1190689266564401,0.1207517209715124,0.08059399151101442,0.982214936365591,0.2180158048868179,-0.2533662915229797,-0.9424832463264465,21.01406860351562,-27.79351806640625,-36.6282958984375,-1,2,112247.9873875,unknown,2,2025-04-20T10:22:11.301-04:00,null,0,0,0,0,0,0,0,null,112247.571488,0,0,101.6977,1745158932.803586,0.0.0.0,100.94.214.186,my_iOS_device,0,5,1745158932.768089,1,0.6,0
2025-04-20T10:22:12.949-04:00,7,1745158931.99985,40.31643103477798,-74.75844873366114,65.45305,0.02085881,0.4038933,-1,-1,3,6.452271117457066,-9999,1745158932.92957,21.68258666992188,-28.77794647216797,-35.28811645507812,204.8157958984375,217.0074462890625,11.12868785858154,112249.6402797917,0.3475341796875,-0.180206298828125,-0.8008575439453125,112249.6152357917,1.229171395301819,0.1338374316692352,-0.5774335265159607,112249.6150517917,470.1153564453125,-145.5409545898438,-404.9234008789062,112249.6102280417,0.100227479945848,0.2334241500872902,0.2923612587179587,1.277338266372681,0.07734844833612442,-0.6150102615356445,0.07280148565769196,0.08585211634635925,-0.06913560628890991,XArbitraryCorrectedZVertical,0.1387170531604504,0.1223076102031957,0.0661618460595,0.9805207318929396,0.2214947491884232,-0.2882140874862671,-0.9315968751907349,21.59609985351562,-28.41770172119141,-35.71591186523438,-1,2,112247.9873875,unknown,2,2025-04-20T10:22:11.301-04:00,null,0,0,0,0,0,0,0,null,112247.571488,0,0,101.6977,1745158932.803586,0.0.0.0,100.94.214.186,my_iOS_device,0,5,1745158932.768089,1,0.6,0
2025-04-20T10:22:12.979-04:00,8,1745158931.99985,40.31643103477798,-74.75844873366114,65.45305,0.02085881,0.4038933,-1,-1,3,6.452271117457066,-9999,1745158932.969665,22.72454833984375,-29.72683715820312,-34.17779541015625,205.7958526611328,217.9875030517578,11.12852764129639,112249.6703327917,0.332305908203125,-0.1935577392578125,-0.7156219482421875,112249.6452887917,0.6604034900665283,0.2443926930427551,-0.3289861381053925,112249.6452887917,470.878662109375,-146.2953186035156,-404.01513671875,112249.6452887917,0.07451083615800901,0.2488076012470367,0.3229235910348936,0.6629367470741272,0.2432481795549393,-0.3280896842479706,0.1140138506889343,0.1371341645717621,0.1182525157928467,XArbitraryCorrectedZVertical,0.1548465004190933,0.1283258470317655,0.05641215589483554,0.9779430347647747,0.2335202842950821,-0.3173403739929199,-0.9191100597381592,22.39498901367188,-29.55673217773438,-34.29803466796875,-1,2,112247.9873875,unknown,2,2025-04-20T10:22:11.301-04:00,null,0,0,0,0,0,0,0,null,112247.571488,0,0,101.6977,1745158932.803586,0.0.0.0,100.94.214.186,my_iOS_device,0,5,1745158932.768089,1,0.6,0
2025-04-20T10:22:13.009-04:00,9,1745158931.99985,40.31643103477798,-74.75844873366114,65.45305,0.02085881,0.4038933,-1,-1,3,6.452271117457066,-9999,1745158932.989908,23.13693237304688,-29.86907958984375,-33.60409545898438,205.9185791015625,218.1102294921875,11.12845420837402,112249.7003857917,0.3281097412109375,-0.2718658447265625,-0.7344970703125,112249.6753417917,0.07252293825149536,0.4523762464523315,-0.1036670058965683,112249.6755207917,471.6526489257812,-146.4951477050781,-403.3533325195312,112249.6803507917,0.06417295326273302,0.2640056592834345,0.3309753557264825,0.02477923780679703,0.5255151391029358,-0.06232069060206413,0.06420263648033142,0.0973198413848877,0.2016855478286743,XArbitraryCorrectedZVertical,0.1590513835388448,0.1349936585385004,0.05303842487179208,0.976558307720503,0.2467866837978363,-0.3249655961990356,-0.9129587411880493,23.13693237304688,-29.86907958984375,-33.60409545898438,-1,2,112247.9873875,unknown,2,2025-04-20T10:22:11.301-04:00,null,0,0,0,0,0,0,0,null,112247.571488,0,0,101.6977,1745158932.803586,0.0.0.0,100.94.214.186,my_iOS_device,0,5,1745158932.768089,1,0.6,0
2025-04-20T10:22:13.045-04:00,10,1745158931.99985,40.31643103477798,-74.75844873366114,65.45305,0.02085881,0.4038933,-1,-1,3,6.452271117457066,-9999,1745158933.029803,23.67852783203125,-29.82138824462891,-33.35494995117188,205.6939392089844,217.8855895996094,11.12832832336426,112249.7304387917,0.3806610107421875,-0.27569580078125,-0.758087158203125,112249.7053947917,-0.045643649995327,0.471125453710556,0.03801369294524193,112249.7057557917,472.1302490234375,-146.3232269287109,-403.22412109375,112249.7154117917,0.06462265148889142,0.281806589367418,0.3301310100347041,0.01892907172441483,0.2485484778881073,0.07192312926054001,0.06585919857025146,0.03766801953315735,0.1796500682830811,XArbitraryCorrectedZVertical,0.1581283037191829,0.143712085885207,0.05461499496408462,0.97537660780799,0.2630744576454163,-0.3241669535636902,-0.9086845517158508,23.67852783203125,-29.82138824462891,-33.35494995117188,-1,2,112247.9873875,unknown,2,2025-04-20T10:22:11.301-04:00,null,0,0,0,0,0,0,0,null,112247.571488,0,0,101.6977,1745158932.803586,0.0.0.0,100.94.214.186,my_iOS_device,0,5,1745158932.768089,1,0.6,0
